sub_catchment,area_km2,mean_slope_deg,channel_length_km,longitudinal_gradient_percent,sinuosity,geomorphic_information_entropy,max_monthly_precipitation_mm,lithologic_hardness_coefficient,loose_material_percent
1-1,1.84069838670647,24.5879096984863,1.78761803784582,61.758159552383,1.03891088855759,0.134293481528352,1539,8.74683427178359,85.4588820257664
1-2,1.23465973900997,27.7398738861084,1.3243848014084,61.7645263770852,1.10308300350888,0.119318557873499,1530,5.11788109931526,78.0791157864859
1-3,0.780626716465216,30.3747863769531,0.96464150465943,65.2055708739249,1.02366024733115,0.148721675815168,1531,5.77430696825607,76.3649193511254
1-4,1.22422715379664,28.2012329101563,1.0703897056275,60.7255466474193,1.07417839312222,0.129530154746588,1531,9.99129476574031,86.6290500429005
2-1,0.779676160390321,32.6278762817383,1.04382655122183,77.0242909666259,1.03500133089805,0.158021203616059,1542,10.0000002967642,81.7968764324929
2-2,2.20540168831838,27.3445053100586,1.56406323297113,52.2357397563786,1.05818527463781,0.127110429218169,1553,9.99999998586829,90.1700469648995
3-1,2.98518051629298,27.2136211395264,2.3183121328175,54.5655600940421,1.52431904912105,0.153131195115814,1548,7.8939119029416,63.4279115479929
3-2,3.34971493620926,24.9825782775879,1.91427011388785,65.87367116331,1.31933405867122,0.13955901799931,1524,7.48516722764226,69.5048931235296
4-1,0.3049131994615,30.0079879760742,0.587682750661586,100.564462600728,1.02894915929989,0.112898492469501,1549,9.99999769158111,77.4768791861721
4-2,0.132312878043992,29.8807392120361,0.347355560716338,120.625677946803,1.01140118571102,0.144753246377076,1538,10.0000029314778,35.2759398163023
5-1,1.88146873070175,34.189884185791,1.82141506712991,63.8514537948011,1.03103037305727,0.162948350036462,1537,9.9999992905776,22.3732358866767
5-2,1.02737024201225,31.1243076324463,1.00263563775069,97.4431750891876,1.01065514962557,0.150511593314651,1515,9.47652728014679,39.8258050396821
6-1,1.84555580252967,32.1306610107422,1.16259368224368,84.0362385347301,1.03045739817015,0.144345733979018,1532,4.12137488366588,56.6943114689615
6-2,0.78826865171175,30.1578187964229,2.08386853226944,43.2848803094922,1.58178249716928,0.105301613478382,1524,3.99999969592891,61.7223398687992
6-3,2.06435322708855,28.3995361328125,2.56194559369753,44.7316290720301,1.05386834837311,0.0895175425882793,1519,4.00000003611226,69.4216364320296
7-1,1.02865745045427,36.751220703125,1.47854894433525,90.8999330153564,1.00768595542772,0.167076854080797,1474,3.31307548374278,18.1021175245675
7-2,1.99610760366839,36.1151161193848,1.88500869831818,75.3312173714073,1.03978414198342,0.0879153380426219,1504,3.97455474601876,60.4383815166154
7-3,2.21645485253224,33.9477272033691,2.19219031764775,71.3441705954705,1.0631875285396,0.139885968193279,1512,3.90233756008048,53.9189283041792
